compound_id,log2FC,pval,comparison,condition,timepoint_h,adj_pval,significant
UT_HILIC_POS_54853,-0.7347803105460784,0.1407653272673598,P_vs_0h_t144h,P,144,0.1922495236809348,False
UT_HILIC_POS_73352,-1.006879842815227,0.078152729946737,P_vs_0h_t144h,P,144,0.1159416952988899,False
UT_HILIC_POS_21328,1.3186356978129226,0.0275252838501534,P_vs_0h_t144h,P,144,0.0513291225025394,False
UT_HILIC_POS_9879,2.197295591321211,0.0012657633344761,P_vs_0h_t144h,P,144,0.0044243919294131,True
UT_HILIC_POS_30341,-18.24646721005577,7.378673328059278e-06,P_vs_0h_t144h,P,144,6.764520278598056e-05,True
UT_HILIC_POS_86297,-1.9195530864479655,0.0166160175923491,P_vs_0h_t144h,P,144,0.0335608481977395,True
UT_HILIC_POS_81915,-1.814029600152466,0.0818173100157352,P_vs_0h_t144h,P,144,0.1205604443061508,False
UT_HILIC_POS_60177,3.750417943050845,0.000869013853398,P_vs_0h_t144h,P,144,0.0032689440038143,True
UT_HILIC_POS_23856,-0.5767613596870866,0.2786550090111481,P_vs_0h_t144h,P,144,0.3404795042267101,False
UT_HILIC_POS_47639,-0.3765817639628999,0.3714655360282801,P_vs_0h_t144h,P,144,0.4388223268976056,False
UT_HILIC_POS_37204,0.9592897083534312,0.0142425835016545,P_vs_0h_t144h,P,144,0.0295466061531614,False
UT_HILIC_POS_52509,3.497811303913132,0.0005259916606734,P_vs_0h_t144h,P,144,0.0022620596418286,True
UT_HILIC_POS_22776,20.413968004085778,0.0189594298101232,P_vs_0h_t144h,P,144,0.0375024380352696,True
UT_HILIC_POS_15575,-6.564282936018751,3.520401136047472e-05,P_vs_0h_t144h,P,144,0.0002293503889059,True
UT_HILIC_POS_34104,2.9153484954580517,0.0036887267585215,P_vs_0h_t144h,P,144,0.0097202076889784,True
UT_HILIC_POS_55061,17.937035468394498,0.0166662053955989,P_vs_0h_t144h,P,144,0.0336178662195809,True
UT_HILIC_POS_78459,-1.461749358578988,0.0117883694218463,P_vs_0h_t144h,P,144,0.0251364813159425,True
UT_HILIC_POS_79419,-1.3580940927922711,0.0119056723081928,P_vs_0h_t144h,P,144,0.025351299449017,True
UT_HILIC_POS_24860,2.1511740464365445,0.0779867092719937,P_vs_0h_t144h,P,144,0.1159041199291408,False
UT_HILIC_POS_61793,8.443364159633791,2.3012680500056445e-08,P_vs_0h_t144h,P,144,1.4374936959536895e-06,True
UT_HILIC_POS_73146,1.9119112895473125,0.0072430410085341,P_vs_0h_t144h,P,144,0.0167508999759302,True
UT_HILIC_POS_8833,6.941608608509455,0.000139740517848,P_vs_0h_t144h,P,144,0.0007533194817794,True
UT_HILIC_POS_52624,-3.642238400096323,0.3910022189557705,P_vs_0h_t144h,P,144,0.445405057456313,False
